case;specid;latname;name;coordx;coordy;AQ;AQ.coordx;AQ.coordy;elev;rlength;nsurvey;forest;count041;count042;count043;count051;count052;count053;count061;count062;count063;count071;count072;count073;count081;count082;count083;count091;count092;count093;count101;count102;count103;count111;count112;count113;count121;count122;count123;count131;count132;count133;date041;date042;date043;date051;date052;date053;date061;date062;date063;date071;date072;date073;date081;date082;date083;date091;date092;date093;date101;date102;date103;date111;date112;date113;date121;date122;date123;date131;date132;date133;dur041;dur042;dur043;dur051;dur052;dur053;dur061;dur062;dur063;dur071;dur072;dur073;dur081;dur082;dur083;dur091;dur092;dur093;dur101;dur102;dur103;dur111;dur112;dur113;dur121;dur122;dur123;dur131;dur132;dur133;obs2004;obs2005;obs2006;obs2007;obs2008;obs2009;obs2010;obs2011;obs2012;obs2013
784;3820;PARATE;Coal tit;1198942;87276;226;1200942;200724;1950;4.3;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;2;2;NA;1;4;NA;4;2;NA;2;2;NA;64;76;NA;60;72;NA;68;78;NA;61;74;NA;62;71;NA;60;78;NA;80;95;NA;87;94;NA;78;85;NA;77;98;NA;330;380;NA;360;360;NA;345;350;NA;360;350;NA;350;370;NA;370;360;NA;480;420;NA;345;390;NA;360;360;NA;355;325;NA;156;156;156;156;156;156;254;254;254;254
785;3820;PARATE;Coal tit;1198942;111276;227;1200942;220724;2350;4.2;2;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;93;NA;77;89;NA;74;81;NA;73;87;NA;71;85;NA;71;86;NA;80;91;NA;75;89;NA;76;89;NA;84;98;NA;180;180;NA;180;170;NA;195;150;NA;195;195;NA;180;185;NA;120;160;NA;170;175;NA;180;165;NA;165;170;NA;175;255;NA;91;91;91;91;91;91;91;91;91;91
786;3820;PARATE;Coal tit;1198942;135276;228;1200942;250724;2050;3.9;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;72;80;NA;72;79;NA;64;71;NA;56;69;NA;70;81;NA;61;62;NA;74;88;NA;49;77;NA;85;99;NA;74;99;NA;180;165;NA;195;165;NA;255;270;NA;180;180;NA;180;180;NA;165;160;NA;147;165;NA;135;120;NA;210;210;NA;210;255;NA;278;278;278;278;278;183;193;308;122;122
787;3820;PARATE;Coal tit;1198942;143276;228;1200942;250724;1150;4.9;3;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;11;15;16;23;31;17;22;29;47;75;26;40;57;21;45;69;23;40;55;33;49;63;26;42;60;50;65;82;41;60;72;48;67;76;39;58;68;290;320;300;290;300;280;285;300;320;300;280;285;300;300;270;270;270;270;260;255;265;245;264;275;292;257;280;245;270;242;100;100;100;100;100;100;263;263;263;263
788;3820;PARATE;Coal tit;1204942;87276;226;1200942;200724;2050;4.5;2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;13;NA;5;10;NA;9;8;NA;9;11;NA;18;12;NA;11;14;NA;76;91;NA;76;87;NA;75;91;NA;70;84;NA;68;90;NA;75;95;NA;78;91;NA;48;81;NA;58;78;NA;65;76;NA;320;315;NA;315;315;NA;315;300;NA;320;315;NA;405;390;NA;400;450;NA;275;420;NA;460;475;NA;465;420;NA;415;420;NA;275;275;275;275;237;237;237;237;237;237
789;3820;PARATE;Coal tit;1204942;111276;227;1200942;220724;2250;4.7;2;14;NA;NA;NA;4;0;NA;0;0;0;1;1;NA;3;1;NA;0;1;NA;1;0;NA;0;1;NA;0;1;NA;0;4;NA;78;94;NA;78;90;NA;75;89;NA;74;88;NA;70;84;NA;70;85;NA;79;90;NA;76;90;NA;75;90;NA;70;97;NA;195;210;NA;210;200;NA;195;150;NA;200;195;NA;180;195;NA;180;195;NA;170;175;NA;180;190;NA;190;180;NA;190;240;NA;91;91;91;91;91;91;91;91;91;91
790;3820;PARATE;Coal tit;1210942;127276;229;1210942;240724;2350;4.7;2;2;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;94;NA;83;90;NA;80;92;NA;77;98;NA;84;94;NA;87;104;NA;76;87;NA;87;94;NA;89;99;NA;92;101;NA;370;345;NA;330;340;NA;345;255;NA;345;345;NA;375;365;NA;295;290;NA;270;270;NA;300;300;NA;360;360;NA;360;330;NA;42;42;225;225;225;225;225;225;225;225
791;3820;PARATE;Coal tit;1210942;143276;230;1210942;250724;2250;4.2;2;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;88;NA;89;105;NA;89;96;NA;73;85;NA;70;91;NA;65;87;NA;69;88;NA;71;82;NA;77;90;NA;78;98;NA;90;185;NA;150;150;NA;240;210;NA;165;240;NA;285;255;NA;390;285;NA;270;300;NA;270;285;NA;270;285;NA;285;295;NA;312;187;333;333;333;333;333;333;333;333
792;3820;PARATE;Coal tit;1215942;96276;232;1220942;210724;2150;6.3;3;30;NA;NA;NA;22;20;10;10;10;7;13;9;8;9;6;5;7;10;10;10;10;5;15;13;10;11;10;4;8;14;9;72;83;94;57;82;95;62;75;88;55;75;80;56;84;100;63;79;101;63;85;98;61;77;92;63;76;91;52;65;77;360;350;370;330;325;325;330;315;331;320;300;305;235;310;270;240;280;285;145;305;285;285;285;315;285;295;295;330;310;285;178;316;316;316;316;316;316;316;316;316
793;3820;PARATE;Coal tit;1216942;127276;234;1220942;240724;2250;5.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;101;113;NA;79;87;NA;94;106;NA;56;85;NA;101;111;NA;67;74;NA;73;85;NA;63;69;NA;95;96;NA;79;100;NA;120;300;NA;240;280;NA;240;240;NA;240;240;NA;245;245;NA;210;300;NA;240;300;NA;180;150;NA;270;270;NA;360;330;NA;196;196;196;196;196;245;245;245;346;346
794;3820;PARATE;Coal tit;1222942;87276;231;1220942;200724;2350;2.9;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;78;96;NA;73;93;NA;77;91;NA;73;88;NA;72;92;NA;89;103;NA;86;98;NA;76;93;NA;78;92;NA;82;84;NA;330;380;NA;200;220;NA;190;220;NA;190;220;NA;210;230;NA;230;220;NA;230;230;NA;230;240;NA;164;170;NA;165;212;NA;156;156;156;156;156;156;156;156;210;210
795;3820;PARATE;Coal tit;1222942;111276;233;1220942;220724;1750;9.4;3;93;43;9;13;25;16;10;10;12;11;19;22;19;14;6;7;12;11;12;9;5;3;13;8;14;16;5;2;21;18;13;48;67;86;43;78;89;45;71;83;40;64;75;54;69;80;51;74;85;52;66;74;38;59;72;48;58;70;44;53;67;270;210;170;205;215;200;185;185;200;195;195;190;210;200;205;195;200;195;210;200;190;200;240;205;195;190;185;215;210;210;274;274;274;274;274;274;274;274;274;274
796;3820;PARATE;Coal tit;1228942;79276;236;1230942;190724;1850;5.5;3;82;19;28;30;53;45;36;33;21;32;47;32;37;41;28;11;18;21;20;20;9;16;28;29;23;25;7;4;24;15;18;26;52;73;34;59;84;33;60;77;29;56;73;41;53;73;41;66;77;47;61;82;40;60;75;44;61;74;37;51;64;280;275;265;285;310;305;280;245;287;305;285;285;265;255;295;285;250;300;300;285;315;305;300;310;310;295;295;330;300;300;316;316;316;316;316;316;316;316;316;316
797;3820;PARATE;Coal tit;1234942;71276;235;1230942;180724;1850;5.4;3;81;48;25;19;59;43;30;30;26;26;52;27;30;31;39;7;22;23;25;33;15;14;20;20;30;16;11;11;13;21;25;27;53;74;35;60;85;34;61;78;30;58;74;42;54;74;42;65;76;48;62;84;39;59;76;45;62;75;36;53;66;300;270;285;285;285;290;285;285;285;310;275;285;280;275;280;275;285;285;245;260;315;295;310;310;310;320;325;320;305;315;316;316;316;316;316;316;316;316;316;316
798;3820;PARATE;Coal tit;1234942;127276;237;1230942;240724;1850;4.7;3;82;49;21;28;42;30;29;23;24;20;39;34;40;29;29;22;47;41;21;22;17;15;44;31;32;26;16;13;34;33;16;44;68;84;57;71;80;56;63;75;51;72;85;51;64;79;51;66;79;45;62;76;49;77;90;48;64;85;52;70;87;300;300;330;330;300;300;315;300;300;300;300;315;300;255;315;300;300;300;300;300;300;300;300;300;300;360;330;300;340;270;49;49;49;49;49;49;49;49;49;49
799;3820;PARATE;Coal tit;1240942;135276;238;1240942;250724;2450;4.4;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;87;NA;85;95;NA;81;88;NA;69;79;NA;71;84;NA;70;80;NA;86;93;NA;77;78;NA;63;76;NA;77;88;NA;238;222;NA;255;238;NA;303;235;NA;282;304;NA;285;275;NA;238;237;NA;296;243;NA;207;253;NA;220;212;NA;190;188;NA;36;36;36;36;36;36;36;36;210;210
800;3820;PARATE;Coal tit;1246942;135276;240;1250942;250724;1850;5.6;3;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;9;21;15;11;8;15;13;17;28;18;10;27;24;27;46;59;69;47;54;83;47;58;71;50;61;78;45;59;72;47;57;79;50;65;76;52;63;77;48;55;77;39;52;76;320;296;258;300;285;280;317;305;275;310;305;296;305;315;295;307;313;317;308;297;302;295;295;307;354;332;343;322;303;367;36;36;36;36;36;36;36;36;183;183
801;3820;PARATE;Coal tit;1252942;111276;239;1250942;220724;1850;6.2;3;53;32;22;22;25;11;11;39;40;41;37;36;33;47;33;14;25;20;19;21;19;16;28;30;23;16;12;6;30;35;27;47;66;89;51;67;77;58;69;83;52;64;75;53;63;89;53;67;80;50;63;77;52;68;86;66;70;91;51;74;86;330;330;335;310;300;360;320;315;300;330;300;300;300;330;330;310;330;300;300;300;300;300;330;300;420;520;360;300;315;315;49;49;49;49;49;49;49;49;49;49
802;3830;PARCRI;Crested tit;922942;63276;1;920942;170724;450;6.4;3;3;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;1;0;0;0;0;0;28;51;74;35;52;73;19;56;65;20;46;54;25;44;55;19;33;55;19;39;54;22;37;59;63;70;78;18;41;63;240;300;300;300;240;300;300;300;300;230;300;280;225;255;245;265;290;275;280;280;280;240;210;240;160;170;155;195;220;230;60;60;60;145;145;128;128;58;353;364
803;3830;PARCRI;Crested tit;928942;79276;2;930942;190724;450;5.5;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;38;59;20;35;65;15;28;55;19;50;56;20;41;69;24;32;51;16;43;53;23;36;65;20;47;57;13;49;62;175;155;165;170;170;170;180;170;170;180;180;180;185;190;180;185;180;200;180;220;190;180;170;179;190;190;180;201;215;190;144;144;144;144;144;144;144;144;144;144
804;3830;PARCRI;Crested tit;928942;103276;3;930942;210724;1050;4.3;3;32;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;2;3;4;2;1;3;4;1;3;1;2;3;0;2;1;25;60;95;24;59;87;23;62;90;22;55;62;32;62;83;30;58;71;29;43;90;17;44;65;26;44;70;26;58;75;215;185;195;210;195;165;180;190;165;175;195;175;195;180;175;165;215;195;190;185;300;195;135;240;150;195;210;210;210;210;318;318;318;318;318;128;128;113;74;74
805;3830;PARCRI;Crested tit;934942;95276;3;930942;210724;950;4.5;3;9;NA;NA;NA;NA;NA;NA;0;0;1;NA;NA;NA;0;1;1;2;0;1;NA;NA;NA;NA;NA;NA;0;1;2;1;0;0;24;54;74;22;60;76;22;57;78;22;49;71;20;62;76;15;33;75;17;33;54;31;37;59;29;42;56;13;35;63;180;180;180;180;180;180;240;240;240;300;255;240;160;205;180;245;210;260;160;170;150;165;175;170;180;195;190;175;175;165;123;123;123;3;365;365;287;287;287;287
806;3830;PARCRI;Crested tit;934942;111276;4;930942;220724;1150;5.4;3;35;6;2;2;10;4;0;3;0;2;2;2;1;5;0;1;4;1;3;1;2;0;4;4;1;2;0;1;4;2;4;22;48;69;28;51;73;23;42;70;15;43;61;27;45;69;23;42;69;26;47;73;18;44;68;27;47;68;24;45;66;180;200;205;180;195;260;190;180;210;180;215;210;200;195;210;170;180;210;210;210;255;205;205;205;200;180;210;235;170;220;113;113;113;113;113;113;113;113;113;113
807;3830;PARCRI;Crested tit;946942;95276;5;950942;210724;550;3.6;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;27;55;64;27;39;55;29;40;52;21;40;49;18;35;53;31;39;53;17;37;52;28;36;65;28;41;58;31;44;68;300;240;205;195;225;215;220;200;210;200;200;195;270;240;240;225;210;195;180;195;250;135;135;150;115;130;150;120;135;120;322;322;322;322;322;322;322;269;269;269
808;3830;PARCRI;Crested tit;946942;111276;6;950942;220724;750;3.9;3;6;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;20;48;55;22;43;69;29;52;65;21;53;65;27;52;81;17;47;76;15;39;59;18;42;64;17;37;66;14;45;66;215;215;195;165;155;170;150;135;180;150;210;135;135;150;150;120;180;180;150;165;180;150;180;180;180;195;195;195;255;165;111;128;74;74;74;74;74;74;74;74
809;3830;PARCRI;Crested tit;952942;119276;7;950942;230724;650;6.1;3;60;3;5;4;7;6;4;1;1;0;1;2;3;0;1;2;4;2;4;2;5;2;5;1;2;1;2;0;0;2;3;21;53;75;22;41;69;24;54;69;37;50;66;16;36;51;15;43;78;16;49;68;15;49;65;25;38;68;37;57;73;200;205;165;210;180;200;200;180;195;210;210;190;195;225;210;210;215;295;240;240;165;180;180;165;240;210;195;210;210;180;150;150;150;150;150;44;74;74;74;74
810;3830;PARCRI;Crested tit;958942;111276;9;960942;220724;550;5.8;3;5;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;34;48;67;23;49;65;23;44;66;29;43;57;27;40;61;30;47;61;17;38;52;16;30;44;26;47;70;18;41;56;135;130;135;150;120;135;240;210;230;205;255;180;190;180;190;165;195;180;220;190;180;190;195;185;195;170;210;185;205;170;74;74;173;173;174;174;174;174;174;174
811;3830;PARCRI;Crested tit;958942;127276;10;960942;240724;550;4.5;3;13;NA;NA;NA;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;20;44;70;21;36;70;21;40;68;20;40;61;25;43;66;21;58;73;21;53;77;22;41;72;24;32;66;29;58;68;150;145;150;165;180;175;150;180;200;180;185;195;180;160;150;180;190;165;160;140;145;155;160;145;225;200;205;220;215;225;137;137;137;137;137;259;259;259;271;271
812;3830;PARCRI;Crested tit;958942;143276;11;960942;250724;1150;3.8;3;50;2;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;2;2;1;2;0;1;1;26;49;58;29;42;63;33;58;75;14;40;52;36;53;72;23;37;73;21;46;59;23;36;59;33;49;63;25;53;75;190;180;195;245;255;255;250;220;235;230;220;195;245;245;240;235;245;230;250;260;230;225;255;210;225;240;230;180;240;220;111;313;313;313;313;313;313;313;313;313
813;3830;PARCRI;Crested tit;964942;103276;8;960942;210724;750;7.7;3;57;NA;NA;NA;5;12;5;13;7;5;6;4;3;8;4;1;5;5;7;3;5;4;8;4;8;6;10;2;8;8;3;18;41;60;14;31;52;20;58;81;21;57;71;32;59;86;24;62;84;24;67;85;17;54;79;29;47;75;17;37;69;250;255;270;215;248;245;210;240;240;240;225;240;255;210;210;225;225;225;210;180;180;185;210;255;240;170;210;225;220;210;8;8;302;302;302;302;302;302;302;191
814;3830;PARCRI;Crested tit;964942;135276;11;960942;250724;1250;1.9;3;84;NA;NA;NA;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2;1;1;0;33;54;68;29;57;64;40;55;83;49;66;85;44;57;80;47;62;75;53;66;76;37;56;76;41;57;77;44;67;74;120;125;125;225;225;225;180;180;195;170;165;167;150;180;150;150;150;150;125;150;120;130;135;135;120;135;120;135;130;85;146;146;146;146;146;146;146;146;146;146
815;3830;PARCRI;Crested tit;970942;95276;12;970942;210724;750;7.9;3;15;0;0;0;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;21;45;55;22;41;59;22;55;73;18;52;65;26;41;76;15;42;77;33;66;82;20;43;56;29;37;50;13;26;72;305;300;315;295;275;315;300;270;240;300;280;255;324;315;346;275;275;280;265;240;235;285;290;200;150;215;185;215;155;200;203;203;203;203;193;44;288;230;230;230
816;3830;PARCRI;Crested tit;970942;127276;13;970942;240724;450;4.4;3;17;NA;NA;NA;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;27;56;67;22;51;73;15;52;72;15;43;63;20;34;69;19;45;74;17;46;66;16;38;65;28;47;63;18;42;68;240;205;205;230;230;210;225;210;195;230;210;210;205;210;220;225;230;220;200;210;210;180;180;180;220;190;200;185;200;195;1;1;171;171;171;171;171;171;171;1
817;3830;PARCRI;Crested tit;970942;159276;14;970942;270724;1050;6;3;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;53;67;71;31;45;58;29;48;71;16;43;56;27;42;61;33;40;61;46;52;66;17;26;62;28;45;57;17;41;69;170;150;140;145;145;139;140;120;140;135;160;145;165;160;140;130;135;130;135;135;135;180;150;120;160;145;128;265;255;250;284;284;284;284;284;284;284;284;284;345
818;3830;PARCRI;Crested tit;976942;119276;19;980942;230724;750;6.2;3;26;0;0;0;1;2;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;46;83;39;67;81;26;67;87;26;49;70;17;45;85;25;40;73;27;53;77;24;48;74;25;40;68;13;35;69;170;155;175;170;160;175;190;210;180;230;230;220;220;220;200;190;180;210;190;195;185;190;210;185;190;205;230;195;185;240;288;288;288;288;288;288;288;288;288;288
819;3830;PARCRI;Crested tit;976942;151276;21;980942;260724;1250;6.1;3;32;1;1;1;2;0;1;0;0;0;0;0;2;1;0;1;NA;NA;NA;0;2;1;0;0;2;1;0;0;0;0;0;41;60;74;29;54;75;34;58;73;36;67;80;27;57;75;25;47;75;25;52;66;23;37;59;33;58;70;31;59;74;280;300;310;285;300;315;270;285;285;255;340;285;290;310;270;255;285;300;270;295;320;290;255;255;240;260;280;215;240;245;158;158;158;158;158;158;158;158;158;158
820;3830;PARCRI;Crested tit;982942;63276;15;980942;170724;1250;4.5;3;66;NA;NA;NA;1;1;2;9;10;5;12;9;10;14;13;12;13;20;9;8;8;6;9;12;15;5;0;2;6;5;7;33;58;75;37;51;72;27;47;75;24;53;73;30;53;74;32;52;73;24;55;74;36;56;76;57;67;78;37;57;72;100;100;95;125;120;125;225;255;255;255;255;240;255;240;270;240;255;225;300;310;330;325;330;340;315;220;300;225;220;235;187;187;137;137;137;137;44;44;239;256
821;3830;PARCRI;Crested tit;982942;79276;16;980942;190724;350;6.2;3;45;NA;NA;NA;1;0;3;1;1;0;0;0;1;1;1;0;0;0;1;1;1;2;0;0;0;0;0;2;1;0;1;18;45;73;23;52;66;16;43;58;22;49;62;19;47;73;18;46;62;17;38;69;17;44;58;35;50;70;18;34;56;180;195;180;180;240;220;165;185;195;180;195;210;165;180;190;165;165;165;165;180;180;150;165;165;160;160;150;180;180;180;277;277;277;277;277;277;277;277;277;277
822;3830;PARCRI;Crested tit;982942;95276;17;980942;210724;750;4.1;3;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;23;40;57;15;29;50;17;29;50;19;26;54;25;42;75;18;38;60;29;51;75;15;35;60;30;45;76;13;24;69;195;180;210;190;200;195;240;315;235;240;240;240;244;244;215;210;210;200;150;180;180;300;265;180;195;195;210;180;210;165;7;7;118;118;193;137;227;341;302;302
823;3830;PARCRI;Crested tit;982942;111276;18;980942;220724;750;4.5;3;9;NA;NA;NA;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;NA;NA;NA;27;40;62;33;68;85;18;46;78;25;41;82;21;47;71;15;49;72;25;47;71;26;45;71;14;42;72;NA;NA;NA;180;180;170;170;190;165;220;190;180;180;185;165;160;145;125;170;165;165;170;170;155;130;120;165;130;135;164;NA;170;288;288;288;288;288;288;288;288
824;3830;PARCRI;Crested tit;982942;127276;20;980942;240724;550;6.9;3;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;0;0;1;1;0;0;2;1;3;1;1;1;2;0;0;1;25;51;74;30;51;73;29;51;74;22;50;71;26;48;74;30;49;68;28;54;76;16;45;65;22;43;68;30;54;68;255;285;285;270;295;300;235;240;255;250;245;200;300;285;240;210;245;240;210;220;225;225;255;270;210;160;190;165;160;165;191;191;191;191;191;191;191;191;191;191
825;3830;PARCRI;Crested tit;988942;71276;23;990942;180724;350;4.7;3;8;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;52;62;22;49;57;30;44;65;15;36;66;20;48;69;25;39;51;30;49;65;16;36;56;27;46;67;26;47;64;135;155;140;145;140;145;125;125;125;135;135;125;185;145;125;115;140;135;135;140;135;200;185;150;169;165;190;165;127;202;40;40;40;40;40;40;40;341;341;341
826;3830;PARCRI;Crested tit;988942;87276;24;990942;200724;1350;3.7;3;78;NA;NA;NA;3;1;1;4;2;7;1;3;9;6;5;1;1;3;4;12;3;2;2;3;2;5;2;1;5;4;3;49;70;79;56;66;71;43;72;90;40;69;81;44;73;86;49;69;91;47;70;98;42;71;90;50;75;82;66;78;86;305;285;275;235;235;230;240;210;240;275;260;255;270;315;270;280;285;265;255;270;240;265;245;300;185;225;225;205;222;200;314;314;302;339;339;339;339;339;121;121
827;3830;PARCRI;Crested tit;988942;151276;28;990942;260724;550;5.7;3;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;1;0;1;1;1;2;4;2;1;1;1;0;17;32;53;31;56;78;15;45;69;14;28;54;25;45;66;18;40;61;22;49;62;18;34;58;17;43;53;25;45;64;240;225;180;210;210;225;195;150;210;180;195;240;210;225;255;195;165;185;300;300;270;270;270;270;255;240;285;285;390;285;142;142;142;142;142;218;150;150;150;150
828;3830;PARCRI;Crested tit;988942;167276;29;990942;280724;1150;4;3;18;0;1;1;0;0;0;1;0;0;1;2;1;3;2;2;3;2;1;4;2;6;3;0;2;6;0;0;3;1;0;24;47;56;41;55;76;41;65;76;26;52;67;36;58;71;36;55;71;26;50;67;23;58;90;34;60;76;63;84;100;180;225;210;195;220;215;185;165;190;170;175;185;165;165;180;180;180;210;170;180;180;210;175;120;170;165;150;150;120;120;111;205;205;205;205;150;227;239;239;239
829;3830;PARCRI;Crested tit;994942;63276;22;990942;170724;1450;6.6;3;54;4;6;5;6;5;7;2;5;4;8;7;7;11;11;7;4;9;8;1;6;4;4;2;5;4;1;3;1;3;2;42;68;86;32;69;86;33;65;77;27;55;75;32;58;75;37;59;76;27;48;69;37;56;71;58;75;83;50;77;86;195;195;210;240;250;240;270;255;225;240;255;270;255;240;245;270;255;195;285;240;255;225;255;255;240;270;270;255;255;240;137;137;137;137;137;137;74;74;74;74
830;3830;PARCRI;Crested tit;994942;111276;25;990942;220724;950;4.3;3;6;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;18;46;85;31;55;74;24;50;77;14;39;65;21;41;75;18;39;69;29;51;74;27;53;75;21;48;75;18;63;76;95;130;115;140;120;100;135;130;125;190;160;170;140;140;140;125;120;115;130;130;120;105;145;125;120;110;110;140;115;120;288;288;288;288;288;288;288;288;288;288
831;3830;PARCRI;Crested tit;994942;127276;26;990942;240724;650;4.7;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;49;60;26;40;62;25;46;67;17;33;54;36;44;57;15;33;54;19;42;56;16;32;59;17;40;53;15;44;57;312;238;263;290;255;285;255;255;245;248;259;245;255;255;250;236;234;226;233;220;196;260;232;265;299;269;265;191;231;238;276;276;276;276;276;276;276;276;276;276
832;3830;PARCRI;Crested tit;994942;143276;27;990942;250724;550;4.9;3;27;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;46;60;87;30;44;50;18;26;42;18;33;50;17;37;49;23;37;49;24;31;67;17;39;55;27;50;59;22;48;67;300;300;300;285;300;285;165;150;180;180;215;210;165;180;190;220;180;220;195;60;220;190;195;180;175;215;205;210;220;230;177;177;20;20;20;20;20;20;20;20
833;3830;PARCRI;Crested tit;994942;191276;30;990942;300724;850;5.3;3;56;2;4;3;NA;NA;NA;0;0;2;0;0;0;0;0;1;1;0;0;0;1;0;NA;NA;NA;NA;NA;NA;0;0;2;27;46;77;22;42;71;29;57;71;25;51;66;35;53;70;31;47;64;29;54;72;31;49;66;26;43;71;23;44;68;300;310;310;240;245;225;285;270;270;240;260;255;240;255;265;215;240;245;220;240;245;285;210;240;225;225;240;225;165;240;94;153;211;205;205;205;205;212;212;212
834;3830;PARCRI;Crested tit;1000942;39276;40;1000942;150724;1250;5.6;3;66;7;7;10;10;7;6;11;6;13;5;8;6;12;7;3;12;6;6;9;7;11;11;5;2;3;3;3;6;11;8;26;54;85;29;55;82;25;47;83;25;39;83;36;53;81;24;53;83;21;56;82;19;50;71;34;54;83;24;50;72;220;220;210;200;200;200;320;220;230;220;230;195;255;210;190;185;190;265;215;230;200;210;210;200;180;200;190;185;210;225;120;120;120;120;120;120;120;120;120;120
835;3830;PARCRI;Crested tit;1000942;55276;31;1000942;170724;450;6.7;3;5;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;43;64;14;33;68;19;34;66;18;38;56;16;31;70;17;36;58;15;43;64;15;44;60;17;40;60;13;28;63;215;225;250;225;240;255;210;255;255;240;240;255;210;240;225;215;270;240;290;275;285;240;300;275;290;260;270;210;230;205;137;137;137;137;137;137;81;233;81;359
836;3830;PARCRI;Crested tit;1000942;87276;32;1000942;200724;1250;4;3;51;NA;NA;NA;6;6;6;5;6;7;6;12;8;7;11;7;9;6;8;5;2;6;3;4;4;1;2;2;4;2;1;34;57;85;29;43;78;26;46;74;25;52;72;28;52;71;30;50;69;27;62;77;34;43;50;26;33;73;36;44;52;210;225;210;210;240;240;220;255;255;240;225;210;200;210;225;195;210;225;210;210;240;270;360;330;255;255;280;260;235;240;137;137;137;137;137;137;227;101;271;358
